invoice_number,vendor_id,po_number,po_line_item,vendor_material_description,quantity,unit_price,total_amount,invoice_date,due_date,currency,payment_status
INV500028,V10021,PO200026,1,"Portable Monitor 15.6 inch",3,780.00,2340.00,2023-06-30,2023-06-30,ILS,Paid
INV500029,V10026,PO200027,1,"LED Strip Light 5 Meter Roll",10,120.00,1200.00,2023-07-05,2023-10-03,EUR,Pending
INV500030,V10031,PO200028,1,"Curved Monitor 32 inch Display",1,1650.00,1650.00,2023-07-10,2023-08-09,USD,Pending
INV500031,V10035,PO200029,1,"Epson Full HD Projector",2,2200.00,4400.00,2023-07-15,2023-07-15,ILS,Pending
INV500032,V10003,PO200030,1,"Samsung LCD Monitor 24 inch",8,850.00,6800.00,2023-07-20,2023-07-20,ILS,Pending
INV500033,V10008,PO200031,1,"Hikvision IP Camera 4MP Security",6,650.00,3900.00,2023-07-25,2023-07-25,USD,Pending
INV500034,V10013,PO200032,1,"Sony Professional Headphones",12,450.00,5400.00,2023-07-30,2023-10-28,EUR,Pending
INV500035,V10016,PO200033,1,"Designer Meeting Chair",20,420.00,8400.00,2023-08-05,2023-08-05,ILS,Pending
INV500036,V10019,PO200034,1,"Smart Ceiling Fan with Remote",5,380.00,1900.00,2023-08-10,2023-09-09,USD,Pending
INV500037,V10024,PO200035,1,"Wireless Numeric Keypad",25,85.00,2125.00,2023-08-15,2023-11-13,EUR,Pending
INV500038,V10027,PO200036,1,"Executive Chair Genuine Leather",3,2200.00,6600.00,2023-08-20,2023-08-20,ILS,Pending
INV500039,V10032,PO200037,1,"Conference Table 8 Seats Oak",1,3500.00,3500.00,2023-08-25,2023-09-24,USD,Pending
INV500040,V10001,PO200038,1,"Corsair Power Supply 650W",40,320.00,12800.00,2023-08-30,2023-09-29,USD,Pending
INV500041,V10004,PO200039,1,"Logitech G502 Gaming Mouse",15,250.00,3750.00,2023-09-05,2023-09-05,ILS,Pending
INV500042,V10006,PO200040,1,"Western Digital HDD 2TB Storage",10,220.00,2200.00,2023-09-10,2023-12-09,EUR,Pending
INV500043,V10001,PO200021,1,"Microsoft Mouse Ergonomic Design",28,180.00,5040.00,2023-06-08,2023-07-08,USD,Dispute
INV500044,V10005,PO200004,1,"Corsair RAM 16GB DDR4 Memory",18,285.00,5130.00,2023-03-08,2023-04-07,USD,Paid
INV500045,V10020,PO200013,1,"Dell Latitude Business Laptop",1,3550.00,3550.00,2023-04-28,2023-05-28,USD,Paid
